method,dataset,direction,seed,rank1,rank5,macro_f1,eer,tar_far_1e_2,tar_far_1e_3
M0,Tongji,S1->S2,42,0.8958333134651184,0.9416666626930237,0.8893457307749822,0.06444677871216288,0.8259166666666666,0.6555833333333333
M0,Tongji,S1->S2,2026,0.9449999928474426,0.9800000190734863,0.9411692386878314,0.047749299718896965,0.876,0.713
M0,Tongji,S1->S2,2705,0.9474999904632568,0.9808333516120911,0.9438738254125588,0.040333333333333256,0.9105833333333333,0.78725
M0,Tongji,S2->S1,42,0.9266666769981384,0.9708333611488342,0.9198865521000622,0.04991666666687611,0.8705,0.7151666666666666
M0,Tongji,S2->S1,2026,0.9350000023841858,0.9674999713897705,0.9286828396103647,0.042028711485227785,0.8811666666666667,0.71125
M0,Tongji,S2->S1,2705,0.9283333420753479,0.9633333086967468,0.9196904051911455,0.04661344537934345,0.8678333333333333,0.70875
M1,Tongji,S1->S2,42,0.871666669845581,0.934166669845581,0.8547217554175813,0.05674999999999821,0.8174166666666667,0.5986666666666667
M1,Tongji,S1->S2,2026,0.9291666746139526,0.9691666960716248,0.9227006884780068,0.03911064425774779,0.8810833333333333,0.6809166666666666
M1,Tongji,S1->S2,2705,0.949999988079071,0.9816666841506958,0.9464543357673321,0.03900910364148082,0.9026666666666666,0.7560833333333333
M1,Tongji,S2->S1,42,0.9549999833106995,0.9833333492279053,0.9524907526055056,0.0382731092447879,0.91025,0.7619166666666667
M1,Tongji,S2->S1,2026,0.9366666674613953,0.9766666889190674,0.9314082408902975,0.04324999999999815,0.88725,0.7028333333333333
M1,Tongji,S2->S1,2705,0.9608333110809326,0.9725000262260437,0.954994052794396,0.0388984593834199,0.91875,0.8053333333333333
M2,Tongji,S1->S2,42,0.9183333516120911,0.9608333110809326,0.9085577446837375,0.05374999999999997,0.8621666666666666,0.6876666666666666
M2,Tongji,S1->S2,2026,0.9266666769981384,0.9708333611488342,0.9183265044148666,0.053706582633131016,0.8601666666666666,0.7109166666666666
M2,Tongji,S1->S2,2705,0.9458333253860474,0.9674999713897705,0.9384223685519565,0.04050000000015942,0.9065,0.7685
M2,Tongji,S2->S1,42,0.9291666746139526,0.9741666913032532,0.9228418989813524,0.04633263305263878,0.87875,0.7028333333333333
M2,Tongji,S2->S1,2026,0.9233333468437195,0.9633333086967468,0.9145679768854189,0.05637394958135694,0.8546666666666667,0.6928333333333333
M2,Tongji,S2->S1,2705,0.9150000214576721,0.9466666579246521,0.9035759200216004,0.052500000000001934,0.8580833333333333,0.6848333333333333
M4,Tongji,S1->S2,42,0.9375,0.9649999737739563,0.9305400680011441,0.051313725488889156,0.868,0.7156666666666667
M4,Tongji,S1->S2,2026,0.9399999976158142,0.9733333587646484,0.936677375213645,0.04302240896496534,0.8923333333333333,0.7418333333333333
M4,Tongji,S1->S2,2705,0.9474999904632568,0.9800000190734863,0.9422511690402166,0.03900000000000011,0.9131666666666667,0.7930833333333334
M4,Tongji,S2->S1,42,0.9583333134651184,0.9858333468437195,0.9559526158570445,0.045500000000000006,0.8904166666666666,0.7535833333333334
M4,Tongji,S2->S1,2026,0.9183333516120911,0.9599999785423279,0.9098826751683728,0.05290826330530413,0.8481666666666666,0.6714166666666667
M4,Tongji,S2->S1,2705,0.9275000095367432,0.9633333086967468,0.9169324160145604,0.051749999999999824,0.8561666666666666,0.6830833333333334
M6,Tongji,S1->S2,42,0.9049999713897705,0.9508333206176758,0.8938464429167965,0.05725000000000012,0.8465833333333334,0.6585833333333333
M6,Tongji,S1->S2,2026,0.934166669845581,0.9666666388511658,0.9275814537456152,0.04917717086902308,0.8846666666666667,0.7429166666666667
M6,Tongji,S1->S2,2705,0.9075000286102295,0.9441666603088379,0.9007805070864534,0.05400000000032687,0.8524166666666667,0.67
M6,Tongji,S2->S1,42,0.9141666889190674,0.9608333110809326,0.9060566362287251,0.05624999999999996,0.8403333333333334,0.6795
M6,Tongji,S2->S1,2026,0.9483333230018616,0.9750000238418579,0.942051570869716,0.045416666666667695,0.89225,0.758
M6,Tongji,S2->S1,2705,0.9233333468437195,0.9599999785423279,0.9140043732235817,0.05408333333333255,0.85775,0.6726666666666666
M7,Tongji,S1->S2,42,0.9108333587646484,0.9608333110809326,0.8996183258302612,0.05158333333333272,0.8518333333333333,0.6775
