method,method_label,direction,seed,total_pairs,genuine_pairs,impostor_pairs,min_empirical_far_step,roc_points,reported_eer,nearest_eer,nearest_eer_threshold,interpolated_eer,eer_interpolation_status,reported_tar_far_1e_2,nearest_far_0.01,nearest_far_abs_error_0.01,tar_at_nearest_far_0.01,threshold_at_nearest_far_0.01,max_far_le_0.01,tar_at_max_far_le_0.01,threshold_at_max_far_le_0.01,reported_tar_far_1e_3,nearest_far_0.001,nearest_far_abs_error_0.001,tar_at_nearest_far_0.001,threshold_at_nearest_far_0.001,max_far_le_0.001,tar_at_max_far_le_0.001,threshold_at_max_far_le_0.001,verdict,notes,metrics_path,scores_path
B0,ResNet18 + CE,S1->S2,42,1440000,12000,1428000,7.002801120448179e-07,36956,0.06444677871216288,0.06444677871148459,0.2176842838525772,0.06444677871216288,brentq_interp1d,0.8259166666666666,0.01000280112044818,2.8011204481794005e-06,0.8259166666666666,0.3306339383125305,0.009980392156862744,0.8259166666666666,0.3307473659515381,0.6555833333333333,0.001,0.0,0.6555833333333333,0.4344854950904846,0.001,0.6556666666666666,0.4344848990440368,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed42/metrics.json,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed42/scores.csv
B0,ResNet18 + CE,S1->S2,2026,1440000,12000,1428000,7.002801120448179e-07,35430,0.047749299718896965,0.04774929971988796,0.22157783806324,0.047749299718896965,brentq_interp1d,0.876,0.01,0.0,0.876,0.3083076477050781,0.01,0.8760833333333333,0.3083046674728393,0.713,0.001,0.0,0.713,0.4088539183139801,0.001,0.7130833333333333,0.4088488519191742,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2026/metrics.json,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2026/scores.csv
B0,ResNet18 + CE,S1->S2,2705,1440000,12000,1428000,7.002801120448179e-07,35967,0.040333333333333256,0.04033333333333333,0.2235337197780609,0.040333333333333256,brentq_interp1d,0.9105833333333333,0.010013305322128851,1.3305322128851285e-05,0.9105833333333333,0.2910816669464111,0.009984593837535014,0.9105833333333333,0.2911911904811859,0.78725,0.001,0.0,0.78725,0.3863103687763214,0.001,0.7873333333333333,0.3863061964511871,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2705/metrics.json,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2705/scores.csv
B0,ResNet18 + CE,S2->S1,42,1440000,12000,1428000,7.002801120448179e-07,35737,0.04991666666687611,0.04992436974789916,0.2120981067419052,0.04991666666687611,brentq_interp1d,0.8705,0.009995798319327731,4.201680672269101e-06,0.8705,0.2980144619941711,0.009995798319327731,0.8706666666666667,0.2980087697505951,0.7151666666666666,0.0010007002801120449,7.002801120448501e-07,0.7151666666666666,0.3940711617469787,0.0009985994397759103,0.7151666666666666,0.3941456079483032,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed42/metrics.json,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed42/scores.csv
B0,ResNet18 + CE,S2->S1,2026,1440000,12000,1428000,7.002801120448179e-07,35748,0.042028711485227785,0.04202871148459384,0.2259885966777801,0.042028711485227785,brentq_interp1d,0.8811666666666667,0.010003501400560224,3.5014005602233833e-06,0.8811666666666667,0.3035475313663482,0.009975490196078431,0.8811666666666667,0.3036776185035705,0.71125,0.0009992997198879552,7.002801120448501e-07,0.71125,0.3991669714450836,0.0009992997198879552,0.7114166666666667,0.3990473747253418,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2026/metrics.json,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2026/scores.csv
B0,ResNet18 + CE,S2->S1,2705,1440000,12000,1428000,7.002801120448179e-07,36280,0.04661344537934345,0.046613445378151264,0.2263344377279281,0.04661344537934345,brentq_interp1d,0.8678333333333333,0.009987394957983193,1.2605042016807302e-05,0.8678333333333333,0.3102103769779205,0.009987394957983193,0.8678333333333333,0.3102103769779205,0.70875,0.0009992997198879552,7.002801120448501e-07,0.70875,0.4100431501865387,0.0009992997198879552,0.7088333333333333,0.4100295901298523,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2705/metrics.json,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2705/scores.csv
B1,ResNet18 + CE + SupCon,S1->S2,42,1440000,12000,1428000,7.002801120448179e-07,37854,0.05674999999999821,0.05676120448179272,0.3074179589748382,0.05674999999999821,brentq_interp1d,0.8174166666666667,0.009988095238095239,1.1904761904761585e-05,0.8174166666666667,0.4362087547779083,0.009988095238095239,0.8175,0.4362082183361053,0.5986666666666667,0.001,0.0,0.5986666666666667,0.5512485504150391,0.001,0.5988333333333333,0.5512232184410095,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv
B1,ResNet18 + CE + SupCon,S1->S2,2026,1440000,12000,1428000,7.002801120448179e-07,35522,0.03911064425774779,0.03911064425770308,0.2642596364021301,0.03911064425774779,brentq_interp1d,0.8810833333333333,0.009995798319327731,4.201680672269101e-06,0.8810833333333333,0.3501317203044891,0.009995798319327731,0.8811666666666667,0.3501259386539459,0.6809166666666666,0.001,0.0,0.6809166666666666,0.4658560454845428,0.001,0.681,0.4658132493495941,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026/scores.csv
B1,ResNet18 + CE + SupCon,S1->S2,2705,1440000,12000,1428000,7.002801120448179e-07,34154,0.03900910364148082,0.039009103641456586,0.2522293627262115,0.03900910364148082,brentq_interp1d,0.9026666666666666,0.01,0.0,0.9026666666666666,0.3335705399513244,0.01,0.90275,0.3335625231266022,0.7560833333333333,0.001,0.0,0.7560833333333333,0.4436342418193817,0.001,0.75625,0.4436135292053222,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705/scores.csv
B1,ResNet18 + CE + SupCon,S2->S1,42,1440000,12000,1428000,7.002801120448179e-07,34404,0.0382731092447879,0.03827310924369748,0.2562992870807647,0.0382731092447879,brentq_interp1d,0.91025,0.009990896358543418,9.103641456582184e-06,0.91025,0.332680195569992,0.009990896358543418,0.9104166666666667,0.3326766490936279,0.7619166666666667,0.0009992997198879552,7.002801120448501e-07,0.7619166666666667,0.4318840205669403,0.0009992997198879552,0.762,0.4318529069423675,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42/scores.csv
B1,ResNet18 + CE + SupCon,S2->S1,2026,1440000,12000,1428000,7.002801120448179e-07,35202,0.04324999999999815,0.043252100840336136,0.2538644075393677,0.04324999999999815,brentq_interp1d,0.88725,0.010010504201680672,1.0504201680671885e-05,0.88725,0.3433466255664825,0.009978991596638655,0.88725,0.3434627950191498,0.7028333333333333,0.0010007002801120449,7.002801120448501e-07,0.7028333333333333,0.4569886922836303,0.000996498599439776,0.7028333333333333,0.4570596814155578,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026/scores.csv
B1,ResNet18 + CE + SupCon,S2->S1,2705,1440000,12000,1428000,7.002801120448179e-07,34134,0.0388984593834199,0.038898459383753504,0.2304130047559738,0.0388984593834199,brentq_interp1d,0.91875,0.01000140056022409,1.4005602240897003e-06,0.91875,0.3019311428070068,0.009986694677871149,0.91875,0.3019948005676269,0.8053333333333333,0.0010014005602240897,1.4005602240897003e-06,0.8053333333333333,0.40550097823143,0.0009978991596638655,0.8053333333333333,0.4056186079978943,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705/scores.csv
B4,ResNet18 + ArcFace,S1->S2,42,1440000,12000,1428000,7.002801120448179e-07,36375,0.05374999999999997,0.053679271708683474,0.2119275629520416,0.05374999999999997,brentq_interp1d,0.8621666666666666,0.009994397759103641,5.602240896358801e-06,0.8621666666666666,0.3058592081069946,0.009994397759103641,0.86225,0.3058573603630066,0.6876666666666666,0.001,0.0,0.6876666666666666,0.4069909453392029,0.001,0.68775,0.4069896042346954,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed42/metrics.json,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed42/scores.csv
