dataset,direction,seed,split_hash,method,checkpoint_path,checkpoint_epoch,far_target,threshold,empirical_far,tar,n_genuine,n_impostor,far_step,pass
Tongji,S1->S2,42,ca6615dd3b2eea0f3d3057cfaa11540d,B0,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,15,0.01,0.3306357264518738,0.01,0.8259166666666666,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,42,ca6615dd3b2eea0f3d3057cfaa11540d,B0,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,15,0.001,0.4344848990440368,0.001,0.6556666666666666,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2026,4662407ca999aef5690c9976e35b0e89,B0,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,23,0.01,0.3083046674728393,0.01,0.8760833333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2026,4662407ca999aef5690c9976e35b0e89,B0,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,23,0.001,0.4088488519191742,0.001,0.7130833333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2705,2d23d2ee114f0b44a034544c06011447,B0,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,31,0.01,0.2911245822906494,0.01,0.9105833333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2705,2d23d2ee114f0b44a034544c06011447,B0,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,31,0.001,0.3863061964511871,0.001,0.7873333333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,42,8ca9ac94d244493d16421422c9403f81,B0,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,21,0.01,0.297985166311264,0.01,0.8706666666666667,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,42,8ca9ac94d244493d16421422c9403f81,B0,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,21,0.001,0.3941130340099334,0.001,0.7151666666666666,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2026,ec8b452d197e7bfdccc2db0d49c8928d,B0,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,22,0.01,0.3035606741905212,0.01,0.8811666666666667,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2026,ec8b452d197e7bfdccc2db0d49c8928d,B0,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,22,0.001,0.3990390598773956,0.001,0.7114166666666667,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2705,a084807152cd32198e9d56b0f2611017,B0,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,21,0.01,0.3101361989974975,0.01,0.8678333333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2705,a084807152cd32198e9d56b0f2611017,B0,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,21,0.001,0.4100272357463836,0.001,0.7088333333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,42,ca6615dd3b2eea0f3d3057cfaa11540d,B1,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,14,0.01,0.436164379119873,0.01,0.8175,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,42,ca6615dd3b2eea0f3d3057cfaa11540d,B1,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,14,0.001,0.5512232184410095,0.001,0.5988333333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2026,4662407ca999aef5690c9976e35b0e89,B1,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,24,0.01,0.3501120805740356,0.01,0.8811666666666667,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2026,4662407ca999aef5690c9976e35b0e89,B1,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,24,0.001,0.4658132493495941,0.001,0.681,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2705,2d23d2ee114f0b44a034544c06011447,B1,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,26,0.01,0.3335625231266022,0.01,0.90275,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2705,2d23d2ee114f0b44a034544c06011447,B1,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,26,0.001,0.4436135292053222,0.001,0.75625,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,42,8ca9ac94d244493d16421422c9403f81,B1,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,23,0.01,0.3326329886913299,0.01,0.9104166666666667,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,42,8ca9ac94d244493d16421422c9403f81,B1,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,23,0.001,0.4318298697471618,0.001,0.762,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2026,ec8b452d197e7bfdccc2db0d49c8928d,B1,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,23,0.01,0.3433895707130432,0.01,0.88725,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2026,ec8b452d197e7bfdccc2db0d49c8928d,B1,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,23,0.001,0.4570035636425018,0.001,0.7028333333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2705,a084807152cd32198e9d56b0f2611017,B1,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,38,0.01,0.3019366562366485,0.01,0.91875,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2705,a084807152cd32198e9d56b0f2611017,B1,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,38,0.001,0.4055388569831848,0.001,0.8053333333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,42,ca6615dd3b2eea0f3d3057cfaa11540d,B4,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,15,0.01,0.3058411777019501,0.01,0.86225,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,42,ca6615dd3b2eea0f3d3057cfaa11540d,B4,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,15,0.001,0.4069896042346954,0.001,0.68775,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2026,4662407ca999aef5690c9976e35b0e89,B4,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,19,0.01,0.3001666367053985,0.01,0.8601666666666666,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2026,4662407ca999aef5690c9976e35b0e89,B4,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,19,0.001,0.3953164517879486,0.001,0.7109166666666666,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2705,2d23d2ee114f0b44a034544c06011447,B4,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,25,0.01,0.2728478908538818,0.01,0.9065,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2705,2d23d2ee114f0b44a034544c06011447,B4,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,25,0.001,0.366405725479126,0.001,0.76875,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,42,8ca9ac94d244493d16421422c9403f81,B4,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,16,0.01,0.3046256303787231,0.01,0.8788333333333334,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,42,8ca9ac94d244493d16421422c9403f81,B4,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,16,0.001,0.3980590999126434,0.001,0.7029166666666666,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2026,ec8b452d197e7bfdccc2db0d49c8928d,B4,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,19,0.01,0.305479496717453,0.01,0.85475,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2026,ec8b452d197e7bfdccc2db0d49c8928d,B4,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,19,0.001,0.4048896729946136,0.001,0.6928333333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2705,a084807152cd32198e9d56b0f2611017,B4,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,18,0.01,0.3094132244586944,0.01,0.8580833333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2705,a084807152cd32198e9d56b0f2611017,B4,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,18,0.001,0.4106472134590149,0.001,0.6848333333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,42,ca6615dd3b2eea0f3d3057cfaa11540d,B5,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,23,0.01,0.3012093305587768,0.01,0.8680833333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,42,ca6615dd3b2eea0f3d3057cfaa11540d,B5,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,23,0.001,0.4065779447555542,0.001,0.71575,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2026,4662407ca999aef5690c9976e35b0e89,B5,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,29,0.01,0.298010766506195,0.01,0.8924166666666666,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2026,4662407ca999aef5690c9976e35b0e89,B5,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,29,0.001,0.3980827629566192,0.001,0.7418333333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2705,2d23d2ee114f0b44a034544c06011447,B5,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,31,0.01,0.2770224809646606,0.01,0.91325,12000,1428000,7.002801120448179e-07,true
Tongji,S1->S2,2705,2d23d2ee114f0b44a034544c06011447,B5,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,31,0.001,0.3741798996925354,0.001,0.7931666666666667,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,42,8ca9ac94d244493d16421422c9403f81,B5,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,27,0.01,0.2877380847930908,0.01,0.8904166666666666,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,42,8ca9ac94d244493d16421422c9403f81,B5,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,27,0.001,0.3841686844825744,0.001,0.7536666666666667,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2026,ec8b452d197e7bfdccc2db0d49c8928d,B5,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,19,0.01,0.3272369503974914,0.01,0.84825,12000,1428000,7.002801120448179e-07,true
