comparison,hypothesis,method_a,method_b,method_a_label,method_b_label,metric,metric_direction,n_paired_units,mean_delta_pp,sd_delta_pp,bootstrap_ci95_low_pp,bootstrap_ci95_high_pp,exact_sign_flip_p_two_sided,interpretation,deltas_pp
B5 minus B1,BNNeck + CE vs CE + SupCon baseline,B5,B1,ResNet18 + BNNeck + CE,ResNet18 + CE + SupCon,Rank-1,higher_is_better,6,0.43055613833333034,3.407269183718438,-1.7361094583333383,3.125000001666667,0.8125,B5 better,6.5833330200;1.0833323000;-0.2499997600;0.3333330200;-1.8333315900;-3.3333301600
B5 minus B1,BNNeck + CE vs CE + SupCon baseline,B5,B1,ResNet18 + BNNeck + CE,ResNet18 + CE + SupCon,Rank-5,higher_is_better,6,0.1666645216666688,1.626175379090707,-0.9027808916666675,1.4722198283333359,0.8125,B5 better,3.0833304000;0.4166662700;-0.1666665100;0.2499997600;-1.6666710400;-0.9166717500
B5 minus B1,BNNeck + CE vs CE + SupCon baseline,B5,B1,ResNet18 + BNNeck + CE,ResNet18 + CE + SupCon,Macro-F1,higher_is_better,6,0.49110822166666773,3.9346514988356396,-2.0117006049999997,3.6224445733333375,0.84375,B5 better,7.5818312600;1.3976686700;-0.4203166800;0.3461863300;-2.1525565700;-3.8061636800
B5 minus B1,BNNeck + CE vs CE + SupCon baseline,B5,B1,ResNet18 + BNNeck + CE,ResNet18 + CE + SupCon,EER,lower_is_better,6,0.4700513549999999,0.6677697162665399,-0.031069091666666975,0.935971055,0.1875,B5 worse,-0.5436274500;0.3911764700;-0.0009103600;0.7226890800;0.9658263300;1.2851540600
B5 minus B1,BNNeck + CE vs CE + SupCon baseline,B5,B1,ResNet18 + BNNeck + CE,ResNet18 + CE + SupCon,TAR@FAR=1e-2,higher_is_better,6,-0.8194444433333338,4.057125644808066,-3.7291666633333356,2.2277777766666675,0.65625,B5 worse,5.0583333300;1.1250000000;1.0500000000;-1.9833333300;-3.9083333300;-6.2583333300
B5 minus B1,BNNeck + CE vs CE + SupCon baseline,B5,B1,ResNet18 + BNNeck + CE,ResNet18 + CE + SupCon,TAR@FAR=1e-3,higher_is_better,6,0.8819444433333358,8.28295340501089,-5.375000003333331,6.627777773333338,0.8125,B5 better,11.7000000000;6.0916666600;3.7000000000;-0.8333333400;-3.1416666600;-12.2250000000
B5 minus B6,BNNeck + CE vs BNNeck + ArcFace,B5,B6,ResNet18 + BNNeck + CE,ResNet18 + BNNeck + ArcFace,Rank-1,higher_is_better,6,1.6111105699999995,2.8287524648080464,-0.6388882783333327,3.513886534999999,0.15625,B5 better,3.2500028600;0.5833327800;3.9999961900;4.4166624600;-2.9999971400;0.4166662700
B5 minus B6,BNNeck + CE vs BNNeck + ArcFace,B5,B6,ResNet18 + BNNeck + CE,ResNet18 + BNNeck + ArcFace,Rank-5,higher_is_better,6,1.1666675416666679,1.774043495837741,-0.16666750166666558,2.4305591983333357,0.1875,B5 better,1.4166653200;0.6666719900;3.5833358800;2.5000035700;-1.5000045300;0.3333330200
B5 minus B6,BNNeck + CE vs BNNeck + ArcFace,B5,B6,ResNet18 + BNNeck + CE,ResNet18 + BNNeck + ArcFace,Macro-F1,higher_is_better,6,1.7985889216666662,3.0792987900726088,-0.6218156866666675,3.8463378150000005,0.15625,B5 better,3.6693625100;0.9095921500;4.1470661900;4.9895979700;-3.2168895700;0.2928042800
B5 minus B6,BNNeck + CE vs BNNeck + ArcFace,B5,B6,ResNet18 + BNNeck + CE,ResNet18 + BNNeck + ArcFace,EER,lower_is_better,6,-0.544712885,0.7710047167690331,-1.0669934633333336,0.053944910000000144,0.15625,B5 better,-0.5936274500;-0.6154761900;-1.5000000000;-1.0750000000;0.7491596600;-0.2333333300
B5 minus B6,BNNeck + CE vs BNNeck + ArcFace,B5,B6,ResNet18 + BNNeck + CE,ResNet18 + BNNeck + ArcFace,TAR@FAR=1e-2,higher_is_better,6,1.5708333349999954,3.7899052687684542,-1.2666666666666717,4.2027777799999955,0.3125,B5 better,2.1416666700;0.7666666600;6.0750000000;5.0083333400;-4.4083333300;-0.1583333300
B5 minus B6,BNNeck + CE vs BNNeck + ArcFace,B5,B6,ResNet18 + BNNeck + CE,ResNet18 + BNNeck + ArcFace,TAR@FAR=1e-3,higher_is_better,6,2.949999998333336,7.2499942519540435,-2.4861111100000004,7.9972222199999985,0.4375,B5 better,5.7083333400;-0.1083333400;12.3083333300;7.4083333300;-8.6583333300;1.0416666600
B6 minus B1,BNNeck + ArcFace vs CE + SupCon baseline,B6,B1,ResNet18 + BNNeck + ArcFace,ResNet18 + CE + SupCon,Rank-1,higher_is_better,6,-1.1805544316666694,3.260627654300799,-3.319441281666668,1.2638876849999978,0.46875,B6 worse,3.3333301600;0.4999995200;-4.2499959500;-4.0833294400;1.1666655500;-3.7499964300
B6 minus B1,BNNeck + ArcFace vs CE + SupCon baseline,B6,B1,ResNet18 + BNNeck + ArcFace,ResNet18 + CE + SupCon,Rank-5,higher_is_better,6,-1.0000030199999992,1.873796351232868,-2.3472249516666692,0.3749966650000065,0.25,B6 worse,1.6666650800;-0.2500057200;-3.7500023900;-2.2500038100;-0.1666665100;-1.2500047700
B6 minus B1,BNNeck + ArcFace vs CE + SupCon baseline,B6,B1,ResNet18 + BNNeck + ArcFace,ResNet18 + CE + SupCon,Macro-F1,higher_is_better,6,-1.3074806999999984,3.623401626524987,-3.672080076666669,1.441067355000005,0.46875,B6 worse,3.9124687500;0.4880765200;-4.5673828700;-4.6434116400;1.0643330000;-4.0989679600
