method,method_label,direction,seed,run_name,target_far,selected_threshold,empirical_far,tar_at_far,num_genuine_pairs,num_impostor_pairs,false_accepts_at_threshold,false_rejects_at_threshold,rank1_misidentifications,num_probes,rank1_misidentification_rate,rank1_accuracy_reconstructed,split_file,scores_path
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,0.001,0.5512232184410095,0.001,0.5988333333333333,12000,1428000,1428,4814,154,1200,0.12833333333333333,0.8716666666666667,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv
B1,ResNet18 + CE + SupCon,S1->S2,2026,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026,0.001,0.4658132493495941,0.001,0.681,12000,1428000,1428,3828,85,1200,0.07083333333333333,0.9291666666666667,data/splits/tongji_subject_disjoint_s1_to_s2_seed2026.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026/scores.csv
B1,ResNet18 + CE + SupCon,S1->S2,2705,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705,0.001,0.4436135292053222,0.001,0.75625,12000,1428000,1428,2925,60,1200,0.05,0.95,data/splits/tongji_subject_disjoint_s1_to_s2_seed2705.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705/scores.csv
B1,ResNet18 + CE + SupCon,S2->S1,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42,0.001,0.4318529069423675,0.0009992997198879552,0.762,12000,1428000,1427,2856,54,1200,0.045,0.955,data/splits/tongji_subject_disjoint_s2_to_s1_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42/scores.csv
B1,ResNet18 + CE + SupCon,S2->S1,2026,b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026,0.001,0.4570596814155578,0.000996498599439776,0.7028333333333333,12000,1428000,1423,3566,76,1200,0.06333333333333334,0.9366666666666666,data/splits/tongji_subject_disjoint_s2_to_s1_seed2026.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026/scores.csv
B1,ResNet18 + CE + SupCon,S2->S1,2705,b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705,0.001,0.4056186079978943,0.0009978991596638655,0.8053333333333333,12000,1428000,1425,2336,47,1200,0.03916666666666667,0.9608333333333333,data/splits/tongji_subject_disjoint_s2_to_s1_seed2705.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705/scores.csv
B5,ResNet18 + BNNeck + CE,S1->S2,42,b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed42,0.001,0.4066219627857208,0.0009992997198879552,0.71575,12000,1428000,1427,3411,75,1200,0.0625,0.9375,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed42/scores.csv
B5,ResNet18 + BNNeck + CE,S1->S2,2026,b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2026,0.001,0.3981024622917175,0.0009978991596638655,0.7418333333333333,12000,1428000,1425,3098,72,1200,0.06,0.94,data/splits/tongji_subject_disjoint_s1_to_s2_seed2026.json,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2026/scores.csv
B5,ResNet18 + BNNeck + CE,S1->S2,2705,b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2705,0.001,0.3741798996925354,0.001,0.7931666666666667,12000,1428000,1428,2482,63,1200,0.0525,0.9475,data/splits/tongji_subject_disjoint_s1_to_s2_seed2705.json,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2705/scores.csv
B5,ResNet18 + BNNeck + CE,S2->S1,42,b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed42,0.001,0.3841686844825744,0.001,0.7536666666666667,12000,1428000,1428,2956,50,1200,0.041666666666666664,0.9583333333333334,data/splits/tongji_subject_disjoint_s2_to_s1_seed42.json,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed42/scores.csv
B5,ResNet18 + BNNeck + CE,S2->S1,2026,b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2026,0.001,0.4334110617637634,0.001,0.6715,12000,1428000,1428,3942,98,1200,0.08166666666666667,0.9183333333333333,data/splits/tongji_subject_disjoint_s2_to_s1_seed2026.json,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2026/scores.csv
B5,ResNet18 + BNNeck + CE,S2->S1,2705,b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2705,0.001,0.4172068536281585,0.001,0.6831666666666667,12000,1428000,1428,3802,87,1200,0.0725,0.9275,data/splits/tongji_subject_disjoint_s2_to_s1_seed2705.json,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2705/scores.csv
B6,ResNet18 + BNNeck + ArcFace,S1->S2,42,b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed42,0.001,0.4218512773513794,0.001,0.6588333333333334,12000,1428000,1428,4094,114,1200,0.095,0.905,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed42/scores.csv
B6,ResNet18 + BNNeck + ArcFace,S1->S2,2026,b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2026,0.001,0.3665907680988312,0.001,0.7431666666666666,12000,1428000,1428,3082,79,1200,0.06583333333333333,0.9341666666666667,data/splits/tongji_subject_disjoint_s1_to_s2_seed2026.json,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2026/scores.csv
B6,ResNet18 + BNNeck + ArcFace,S1->S2,2705,b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2705,0.001,0.4259303510189056,0.0009978991596638655,0.67,12000,1428000,1425,3960,111,1200,0.0925,0.9075,data/splits/tongji_subject_disjoint_s1_to_s2_seed2705.json,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2705/scores.csv
B6,ResNet18 + BNNeck + ArcFace,S2->S1,42,b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed42,0.001,0.3949648737907409,0.001,0.6796666666666666,12000,1428000,1428,3844,103,1200,0.08583333333333333,0.9141666666666667,data/splits/tongji_subject_disjoint_s2_to_s1_seed42.json,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed42/scores.csv
B6,ResNet18 + BNNeck + ArcFace,S2->S1,2026,b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2026,0.001,0.370294839143753,0.000996498599439776,0.758,12000,1428000,1423,2904,62,1200,0.051666666666666666,0.9483333333333334,data/splits/tongji_subject_disjoint_s2_to_s1_seed2026.json,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2026/scores.csv
B6,ResNet18 + BNNeck + ArcFace,S2->S1,2705,b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2705,0.001,0.4015155136585235,0.0009985994397759103,0.67275,12000,1428000,1426,3927,92,1200,0.07666666666666666,0.9233333333333333,data/splits/tongji_subject_disjoint_s2_to_s1_seed2705.json,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2705/scores.csv
B8,ResNet18 + CosFace,S1->S2,42,b8_resnet18_cosface_tongji_subject_disjoint_s1s2_seed42,0.001,0.4064858853816986,0.001,0.7035,12000,1428000,1428,3558,96,1200,0.08,0.92,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s1s2_seed42/scores.csv
B8,ResNet18 + CosFace,S1->S2,2026,b8_resnet18_cosface_tongji_subject_disjoint_s1s2_seed2026,0.001,0.3828794360160827,0.001,0.723,12000,1428000,1428,3324,64,1200,0.05333333333333334,0.9466666666666667,data/splits/tongji_subject_disjoint_s1_to_s2_seed2026.json,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s1s2_seed2026/scores.csv
B8,ResNet18 + CosFace,S1->S2,2705,b8_resnet18_cosface_tongji_subject_disjoint_s1s2_seed2705,0.001,0.3969891667366028,0.0009985994397759103,0.7245833333333334,12000,1428000,1426,3305,115,1200,0.09583333333333334,0.9041666666666667,data/splits/tongji_subject_disjoint_s1_to_s2_seed2705.json,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s1s2_seed2705/scores.csv
B8,ResNet18 + CosFace,S2->S1,42,b8_resnet18_cosface_tongji_subject_disjoint_s2s1_seed42,0.001,0.3626425862312317,0.001,0.7648333333333334,12000,1428000,1428,2822,67,1200,0.05583333333333333,0.9441666666666667,data/splits/tongji_subject_disjoint_s2_to_s1_seed42.json,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s2s1_seed42/scores.csv
B8,ResNet18 + CosFace,S2->S1,2026,b8_resnet18_cosface_tongji_subject_disjoint_s2s1_seed2026,0.001,0.3756277561187744,0.0009978991596638655,0.74625,12000,1428000,1425,3045,89,1200,0.07416666666666667,0.9258333333333333,data/splits/tongji_subject_disjoint_s2_to_s1_seed2026.json,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s2s1_seed2026/scores.csv
