method,method_label,direction,seed,run_name,error_type,rank_within_type,score,target_far,selected_threshold,empirical_far,tar_at_far,is_error_at_threshold,probe_index,gallery_index,same_class,split_file,scores_path,probe_path,probe_dataset,probe_session,probe_hand,probe_subject_id,probe_palm_id,probe_class_id,probe_sample_id,gallery_path,gallery_dataset,gallery_session,gallery_hand,gallery_subject_id,gallery_palm_id,gallery_class_id,gallery_sample_id
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,1,0.7269106507301331,0.001,0.5512232184410095,0.001,0.5988333333333333,True,60,50,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/00211.bmp,Tongji,session2,none,22,Tongji_00022,481,Tongji_session2_none_00211,data/segmented/Tongji/session1/00191.bmp,Tongji,session1,none,20,Tongji_00020,479,Tongji_session1_none_00191
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,2,0.7133259177207947,0.001,0.5512232184410095,0.001,0.5988333333333333,True,37,702,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/00168.bmp,Tongji,session2,none,17,Tongji_00017,476,Tongji_session2_none_00168,data/segmented/Tongji/session1/03083.bmp,Tongji,session1,none,309,Tongji_00309,768,Tongji_session1_none_03083
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,3,0.7079132795333862,0.001,0.5512232184410095,0.001,0.5988333333333333,True,618,650,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/02829.bmp,Tongji,session2,none,283,Tongji_00283,742,Tongji_session2_none_02829,data/segmented/Tongji/session1/02961.bmp,Tongji,session1,none,297,Tongji_00297,756,Tongji_session1_none_02961
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,4,0.7000228762626648,0.001,0.5512232184410095,0.001,0.5988333333333333,True,612,650,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/02823.bmp,Tongji,session2,none,283,Tongji_00283,742,Tongji_session2_none_02823,data/segmented/Tongji/session1/02961.bmp,Tongji,session1,none,297,Tongji_00297,756,Tongji_session1_none_02961
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,5,0.6979366540908813,0.001,0.5512232184410095,0.001,0.5988333333333333,True,702,38,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/03083.bmp,Tongji,session2,none,309,Tongji_00309,768,Tongji_session2_none_03083,data/segmented/Tongji/session1/00169.bmp,Tongji,session1,none,17,Tongji_00017,476,Tongji_session1_none_00169
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,6,0.6948546767234802,0.001,0.5512232184410095,0.001,0.5988333333333333,True,617,650,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/02828.bmp,Tongji,session2,none,283,Tongji_00283,742,Tongji_session2_none_02828,data/segmented/Tongji/session1/02961.bmp,Tongji,session1,none,297,Tongji_00297,756,Tongji_session1_none_02961
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,7,0.6943141222000122,0.001,0.5512232184410095,0.001,0.5988333333333333,True,61,51,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/00212.bmp,Tongji,session2,none,22,Tongji_00022,481,Tongji_session2_none_00212,data/segmented/Tongji/session1/00192.bmp,Tongji,session1,none,20,Tongji_00020,479,Tongji_session1_none_00192
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,8,0.6939818263053894,0.001,0.5512232184410095,0.001,0.5988333333333333,True,611,650,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/02822.bmp,Tongji,session2,none,283,Tongji_00283,742,Tongji_session2_none_02822,data/segmented/Tongji/session1/02961.bmp,Tongji,session1,none,297,Tongji_00297,756,Tongji_session1_none_02961
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,9,0.6938644051551819,0.001,0.5512232184410095,0.001,0.5988333333333333,True,233,249,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/00894.bmp,Tongji,session2,none,90,Tongji_00090,549,Tongji_session2_none_00894,data/segmented/Tongji/session1/00920.bmp,Tongji,session1,none,92,Tongji_00092,551,Tongji_session1_none_00920
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,10,0.6931454539299011,0.001,0.5512232184410095,0.001,0.5988333333333333,True,233,240,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/00894.bmp,Tongji,session2,none,90,Tongji_00090,549,Tongji_session2_none_00894,data/segmented/Tongji/session1/00911.bmp,Tongji,session1,none,92,Tongji_00092,551,Tongji_session1_none_00911
