dataset,method,direction,seed,num_genuine,num_impostor,target_far,selected_threshold,empirical_far,tar,eer,eer_threshold,source_file
Tongji,B0,S1->S2,42,12000,1428000,0.01,0.3307473659515381,0.0099803921568627,0.8259166666666666,0.0644467787121628,0.2176842838525772,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B0,S1->S2,42,12000,1428000,0.001,0.4344848990440368,0.001,0.6556666666666666,0.0644467787121628,0.2176842838525772,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B0,S1->S2,2026,12000,1428000,0.01,0.3083046674728393,0.01,0.8760833333333333,0.0477492997188969,0.22157783806324,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B0,S1->S2,2026,12000,1428000,0.001,0.4088488519191742,0.001,0.7130833333333333,0.0477492997188969,0.22157783806324,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B0,S1->S2,2705,12000,1428000,0.01,0.2911911904811859,0.009984593837535,0.9105833333333332,0.0403333333333332,0.2235337197780609,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B0,S1->S2,2705,12000,1428000,0.001,0.3863061964511871,0.001,0.7873333333333333,0.0403333333333332,0.2235337197780609,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B0,S2->S1,42,12000,1428000,0.01,0.2980087697505951,0.0099957983193277,0.8706666666666667,0.0499166666668761,0.2120981067419052,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B0,S2->S1,42,12000,1428000,0.001,0.3941456079483032,0.0009985994397759,0.7151666666666666,0.0499166666668761,0.2120981067419052,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B0,S2->S1,2026,12000,1428000,0.01,0.3036776185035705,0.0099754901960784,0.8811666666666667,0.0420287114852277,0.2259885966777801,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B0,S2->S1,2026,12000,1428000,0.001,0.3990473747253418,0.0009992997198879,0.7114166666666667,0.0420287114852277,0.2259885966777801,docs\results\threshold_evidence_strict_tongji.csv
